		Eigen teksten van de heiligen											
	Basisboek en plaatselijke heiligen												
	maand	dag	code_eigen	naam	gebed	morg. ant.	avnd. ant						
jan.	1	2	200	HH. Basilius de Grote en Gregorius van Nazianze	1221	1221	1222						
	1	3	546	De heilige Naam Jezus									
	1	5	203	Roermond: H. Gerlach									
	1	5	204	Roermond: H. Karel van Sint Andries									
	1	7	205	H. Raimundus van Penyafort	1222								
	1	13	207	H. Hilarius	1223								
	1	14	208	Breda: Z. Petrus Donders									
	1	14	208	's-Hertogenbosch: Z. Petrus Donders									
	1	15	210	Roermond: H. Arnold Janssen									
	1	17	211	H. Antonius	1223								
	1	20	212	H. Fabianus	1223-1224								
	1	20	213	H. Sebastianus	1224								
	1	21	214	H. Agnes	xxx								
	1	22	215	H. Vincentius	1226								
	1	24	216	H. Franciscus van Sales	1227								
	1	25	217	Bekering H. apostel Paulus	xxx								
	1	26	218	HH. Timoteüs en Titus	1233	1233	1233						
	1	27	219	H. Angela Merici	1234								
	1	28	220	H. Thomas van Aquino	1235	1234	1235						
	1	31	223	H. Johannes Bosco	1235								
febr.	2	2	224	Opdracht v/d Heer in de tempel	xxx								
	2	3	225	H. Blasius	1243								
	2	3	226	H. Ansgarius	1243								
	2	5	228	H. Agatha	1244	1244	1244						
	2	6	229	HH. Paulus Miki en gezellen	1244								
	2	6	232	Breda:  H. Amandus									
	2	6	229	Breda: HH. Paulus Miki en gezellen									
	2	8	235	H. Hieronymus Emiliani	1245								
	2	8	547	H. Josephina Bakhita									
	2	10	236	H. Scholastica	1245								
	2	11	237	H. Maria van Lourdes	1246	1246	1246						
	2	14	240	HH. Cyrillus en Methodius	xxx								
	2	14	240	Europa: HH. Cyrillus en Methodius	xxx								
	2	17	241	HH. Stichters v/d servieten	1248	1248	1248						
	2	21	246	H. Petrus Damiani	1249								
	2	22	247	St. Petrus' Stoel	xxx								
	2	23	248	H. Polycarpus	1255	1255	1255						
mrt.	3	1	251	Utrecht en Rotterdam: H. Swietbert									
	3	3	254	Groningen: H. Frederik									
	3	4	255	H. Casimir									
	3	7	258	HH. Perpetua en Felicitas									
	3	8	259	H. Johannes a Deo									
	3	9	260	H. Francisca Romana									
	3	17	261	H. Patricius									
	3	17	262	Breda: H. Gertrudis									
